index,Xt,Yt,Zt,Vxt,Vyt,Vzt,X0,Y0,Z0,Vx0,Vy0,Vz0,M_mw(1e12 M_sun),M_lmc(1e10 M_sun),concentration(c),flattening(q)
367,-1.57,-42.14,-28.48,-58.63,-231.49,254.96,68.05,391.43,-120.84,-23.84,-171.78,3.46,0.933,14.154,8.073,0.542
368,-0.86,-37.88,-26.52,-67.08,-203.09,213.99,43.37,301.14,-6.94,-5.96,-103.35,-47.72,0.675,17.925,9.677,1.172
369,-0.55,-43.99,-28.12,-56.33,-237.89,233.92,7.76,211.11,124.06,12.33,9.9,-89.21,1.288,18.719,12.82,0.744
370,-0.73,-42.55,-27.95,-57.55,-234.38,230.84,57.85,377.85,-65.77,-18.76,-162.18,-19.85,0.781,9.513,11.462,0.582
371,-1.13,-42.62,-28.19,-54.61,-247.82,257.49,24.57,269.81,88.95,5.33,-37.46,-91.37,1.415,16.368,12.465,0.521
372,-0.57,-41.68,-26.2,-55.98,-226.32,240.89,35.94,323.98,18.14,-4.13,-107.83,-62.07,0.878,14.3,14.039,0.739
373,-0.38,-42.01,-27.16,-57.93,-229.72,219.86,54.92,381.77,-65.04,-18.29,-168.13,-15.36,0.573,14.543,12.602,0.735
374,-1.35,-42.09,-27.04,-59.25,-238.13,256.64,35.34,278.72,48.93,1.79,-46.84,-83.95,1.709,8.864,7.477,0.557
375,-0.35,-38.47,-30.25,-57.02,-232.09,221.35,62.69,379.48,-97.51,-21.39,-166.21,-3.01,0.795,16.047,5.483,0.731
376,-1.04,-42.12,-26.8,-59.33,-218.55,231.76,37.94,307.46,12.58,-3.25,-95.25,-61.26,0.953,15.105,9.015,0.866
377,-1.18,-42.09,-27.38,-57.89,-241.17,264.73,28.88,256.94,72.02,7.07,-17.91,-91.11,1.88,12.967,7.589,0.562
378,-0.53,-41.23,-29.81,-60.5,-229.52,247.76,52.1,336.5,-18.53,-10.14,-111.98,-57.84,1.356,20.105,6.225,0.57
379,-1.22,-44.47,-25.85,-59.05,-232.02,261.93,41.22,316.91,21.12,-1.4,-81.48,-78.58,1.731,19.546,5.931,0.547
380,-0.82,-42.33,-27.03,-56.21,-242.8,244.87,25.13,260.07,82.09,7.28,-22.0,-91.32,1.918,18.686,5.9,0.556
381,-1.43,-42.21,-27.81,-60.1,-227.75,252.59,74.47,396.64,-149.99,-27.69,-179.96,18.54,0.95,19.91,5.038,0.507
382,-2.1,-37.44,-25.82,-55.84,-204.48,201.72,38.2,292.61,4.12,-5.34,-94.76,-51.22,0.68,20.15,8.394,1.328
383,-0.2,-44.38,-26.72,-47.87,-206.39,202.16,27.14,322.71,-15.67,-3.51,-123.37,-41.64,0.64,13.766,11.826,1.299
384,-1.29,-42.47,-27.77,-59.18,-230.66,257.52,68.64,404.91,-135.69,-25.45,-184.95,15.12,0.723,19.064,10.957,0.626
385,-1.4,-44.0,-27.43,-57.58,-234.35,257.29,24.38,246.54,83.41,8.68,-16.62,-91.66,1.538,11.882,10.426,0.594
386,-1.0,-40.7,-29.7,-56.87,-223.45,261.12,53.5,346.65,-58.34,-12.57,-128.04,-39.37,1.197,16.845,7.807,0.547
387,-1.26,-40.59,-26.8,-59.06,-227.74,221.22,51.68,370.25,-53.35,-16.37,-158.02,-20.02,0.598,10.819,14.01,0.986
388,-1.12,-42.4,-27.49,-56.82,-225.21,234.27,34.19,315.45,20.86,-3.62,-101.81,-61.53,0.85,12.408,14.701,0.883
389,-0.83,-41.3,-27.43,-59.58,-226.26,251.94,22.89,255.35,71.5,6.72,-31.2,-86.1,1.258,18.835,10.672,0.762
390,-0.16,-42.29,-29.01,-61.08,-216.33,196.45,62.36,358.2,-93.28,-21.04,-159.34,-1.57,0.666,7.986,5.293,0.911
391,-0.76,-38.89,-27.12,-53.53,-224.46,207.47,48.27,351.8,-55.18,-12.82,-142.8,-21.49,0.761,16.095,5.262,1.012
392,-1.03,-43.2,-27.11,-59.29,-232.6,242.72,70.81,405.93,-146.82,-27.79,-190.95,25.08,0.698,8.25,10.429,0.596
393,-1.15,-43.06,-27.31,-61.57,-221.56,237.5,82.22,396.45,-186.96,-33.92,-191.16,45.19,0.719,11.43,5.135,0.523
394,-0.97,-40.92,-28.49,-53.91,-242.0,233.37,46.97,359.76,-16.45,-11.78,-137.52,-45.76,0.911,12.597,11.278,0.59
395,-1.09,-42.82,-28.26,-55.29,-222.44,215.02,59.71,384.9,-109.12,-21.89,-178.65,9.05,0.506,10.365,11.856,0.973
396,-0.84,-41.41,-25.17,-61.73,-230.4,234.46,75.58,409.9,-161.56,-30.27,-195.78,35.3,0.602,13.804,6.161,0.691
397,-0.93,-43.41,-28.14,-62.49,-249.67,292.13,22.01,242.86,93.63,11.17,2.83,-94.81,1.8,12.304,13.943,0.513
398,-2.35,-41.14,-26.31,-57.66,-231.5,259.13,37.5,295.93,42.96,-1.47,-71.84,-77.23,1.165,16.24,11.926,0.691
399,-0.5,-40.82,-27.41,-61.67,-231.47,230.55,43.58,338.76,-8.62,-7.94,-121.66,-49.15,0.92,14.809,9.049,0.823
400,-1.05,-41.93,-28.42,-55.75,-228.76,222.92,34.98,283.03,41.19,1.64,-61.41,-78.87,1.488,15.678,5.123,0.688
401,-1.53,-42.0,-27.35,-55.79,-232.55,226.86,28.87,282.22,61.4,0.97,-65.47,-79.29,1.063,12.784,10.636,0.767
402,-0.87,-42.22,-26.83,-57.81,-223.09,252.48,30.89,295.97,37.69,0.68,-74.24,-76.32,1.101,20.357,11.066,0.779
403,-0.63,-39.63,-29.08,-47.91,-214.06,201.37,38.68,339.94,-59.96,-10.27,-138.99,-19.01,0.64,17.657,7.421,1.314
404,-0.95,-40.75,-27.58,-58.28,-224.32,218.96,56.46,352.91,-64.52,-16.28,-144.53,-20.11,0.859,8.264,6.44,0.777
405,-1.15,-41.15,-27.82,-60.95,-251.31,244.02,53.44,379.78,-21.33,-13.59,-149.11,-43.51,0.936,16.719,12.265,0.566
406,-1.4,-43.51,-25.94,-56.91,-228.61,243.05,42.17,327.84,4.92,-5.7,-106.46,-61.1,1.155,14.017,8.274,0.617
407,-1.18,-40.54,-28.81,-62.67,-232.55,242.8,61.44,359.82,-49.72,-16.58,-136.84,-38.96,1.246,18.938,5.443,0.568
408,-1.05,-41.85,-27.96,-60.19,-233.49,228.26,43.76,330.53,-1.0,-7.45,-114.89,-52.92,0.979,8.24,9.853,0.767
