index,Xt,Yt,Zt,Vxt,Vyt,Vzt,X0,Y0,Z0,Vx0,Vy0,Vz0,M_mw(1e12 M_sun),M_lmc(1e10 M_sun),concentration(c),flattening(q)
158,-1.17,-39.9,-27.53,-60.18,-224.59,206.51,58.7,377.27,-113.78,-20.68,-171.34,12.55,0.603,7.826,7.798,1.36
159,-1.13,-42.83,-27.0,-60.2,-240.97,254.68,33.49,311.37,56.23,-0.46,-82.46,-81.98,1.126,19.434,10.774,0.522
160,-0.87,-41.4,-28.49,-58.1,-231.29,247.07,66.12,385.61,-118.35,-23.1,-169.14,2.17,0.936,10.259,5.613,0.575
161,-0.72,-40.34,-28.19,-59.39,-232.24,244.32,33.79,301.56,41.86,-0.28,-80.0,-77.56,1.079,20.532,8.783,0.667
162,-1.09,-42.56,-28.74,-56.5,-222.42,221.37,67.19,394.67,-152.67,-26.0,-187.49,31.39,0.531,11.725,7.102,1.01
163,-0.91,-40.27,-27.12,-57.83,-221.8,222.03,50.08,365.56,-83.05,-14.96,-156.62,-6.7,0.649,14.293,9.56,1.421
164,-1.37,-41.68,-27.94,-54.45,-239.89,255.38,32.6,297.01,48.09,-0.99,-73.17,-78.25,1.17,8.801,11.565,0.548
165,-0.79,-41.56,-26.91,-58.44,-224.31,222.47,46.34,353.19,-31.22,-11.59,-140.14,-35.25,0.696,16.76,9.832,1.002
166,-0.5,-41.89,-28.13,-59.72,-229.08,211.5,68.04,400.24,-138.8,-26.9,-190.75,27.18,0.513,9.878,6.946,1.011
167,-0.62,-43.44,-29.43,-62.43,-236.01,264.31,38.57,319.01,28.28,-2.7,-89.36,-75.26,1.223,16.818,10.737,0.603
168,-0.68,-41.78,-26.84,-60.01,-238.87,240.06,38.58,328.0,26.52,-5.96,-110.75,-64.99,0.893,7.385,14.457,0.571
169,-1.0,-41.22,-28.18,-61.0,-227.53,241.29,28.95,289.46,56.23,0.79,-72.37,-79.53,0.925,18.268,14.727,0.883
170,-1.06,-40.47,-29.25,-55.77,-225.19,215.7,48.9,352.19,-24.1,-12.55,-140.33,-39.96,0.646,20.504,9.075,0.769
171,-1.22,-44.07,-27.07,-61.58,-250.82,270.44,19.75,255.74,108.24,8.96,-20.64,-93.6,1.433,17.3,12.84,0.587
172,-1.02,-42.19,-26.47,-61.45,-223.43,223.03,55.26,376.85,-72.03,-18.29,-165.18,-11.72,0.579,14.967,11.717,1.092
173,-1.43,-41.94,-27.37,-59.22,-231.49,240.6,30.15,305.39,48.39,0.29,-85.93,-74.56,0.924,17.066,14.304,0.882
174,-1.35,-43.41,-25.57,-57.32,-220.74,217.23,51.8,370.91,-67.53,-16.66,-162.75,-12.81,0.567,9.159,12.878,1.097
